file_path,language,extension,loc,method_count,size_bytes
docs\de\docs\tutorial\security\index.md,Markdown,.md,106,0,5403
docs\de\docs\tutorial\security\oauth2-jwt.md,Markdown,.md,277,0,13310
docs\de\docs\tutorial\security\simple-oauth2.md,Markdown,.md,289,0,11661
docs\en\data\contributors.yml,YAML,.yml,595,0,21987
docs\en\data\github_sponsors.yml,YAML,.yml,358,0,19032
docs\en\data\members.yml,YAML,.yml,22,0,841
docs\en\data\people.yml,YAML,.yml,774,0,34276
docs\en\data\skip_users.yml,YAML,.yml,6,0,80
docs\en\data\sponsors.yml,YAML,.yml,66,0,3710
docs\en\data\sponsors_badge.yml,YAML,.yml,52,0,809
docs\en\data\topic_repos.yml,YAML,.yml,496,0,16747
docs\en\data\translation_reviewers.yml,YAML,.yml,1885,0,69920
docs\en\data\translators.yml,YAML,.yml,555,0,20643
docs\en\docs\alternatives.md,Markdown,.md,485,0,23148
docs\en\docs\async.md,Markdown,.md,444,0,24422
docs\en\docs\benchmarks.md,Markdown,.md,34,0,3537
docs\en\docs\contributing.md,Markdown,.md,7,0,278
docs\en\docs\editor-support.md,Markdown,.md,23,0,2539
docs\en\docs\environment-variables.md,Markdown,.md,11,0,782
docs\en\docs\external-links.md,Markdown,.md,30,0,962
docs\en\docs\fastapi-cli.md,Markdown,.md,138,0,6848
docs\en\docs\fastapi-people.md,Markdown,.md,193,0,6606
docs\en\docs\features.md,Markdown,.md,201,0,9340
docs\en\docs\help-fastapi.md,Markdown,.md,79,0,3551
docs\en\docs\history-design-future.md,Markdown,.md,79,0,4165
docs\en\docs\index.md,Markdown,.md,581,0,25767
docs\en\docs\management.md,Markdown,.md,15,0,655
docs\en\docs\newsletter.md,Markdown,.md,5,0,331
