token_a,token_b,similarity_before,similarity_after,change
-,is,-0.024799843853424645,0.1355399996794085,0.16033984353283315
-,2,-0.3430475271687825,-0.10280675061339897,0.24024077655538353
-,def,0.12353379657393039,0.254994321358176,0.13146052478424564
-,],-0.06999999071667495,0.11859226934438508,0.18859226006106003
-,,-0.004162405748112819,-0.0004161451710627335,0.0037462605770500856
-,and,0.015117791260684197,0.19627573624379757,0.18115794498311338
-,):,-0.13097248090253694,0.029021987233707205,0.15999446813624413
-,',0.10027614973050937,0.21620569993811695,0.11592955020760758
-,s,0.16829788276021504,0.27128729614253966,0.10298941338232462
-,np,-0.06368085540119764,0.09350717787785535,0.157188033279053
-,if,0.009389790293649461,0.1432111879458705,0.13382139765222106
-,@,0.07577892076592141,0.343735777096923,0.2679568563310016
-,assert,-0.1587184087881599,0.03837273078697636,0.19709113957513627
-,import,-0.020175440467744173,0.07841634788869331,0.09859178835643748
-,*,-0.13958954587171227,-0.0066256964751438266,0.13296384939656844
-,{,-0.17326287890219752,-0.027340696579112055,0.14592218232308546
-,pytest,-0.09784602704122829,0.2075153663224236,0.30536139336365187
-,"""""""",0.020013574319360843,0.1483865142675221,0.12837293994816126
-,==,-0.09278394367077372,0.06700474138702332,0.15978868505779703
-,y,-0.09573431673296333,-0.004188417155903869,0.09154589957705946
-,3,0.08107523313558046,0.24216693081559984,0.16109169768001938
-,(#,-0.013347119434736095,0.22547910201981244,0.23882622145454854
-,with,0.12824945205075688,0.28173595431597004,0.15348650226521315
-,(),-0.031977923191262976,0.10133511560430881,0.1333130387955718
"""",:,-0.09520537212845828,0.001562983815133299,0.09676835594359158
"""",the,0.10359887922318049,0.17084391553945252,0.06724503631627203
"""",#,-0.049119937475732324,0.10741195973111226,0.15653189720684457
"""",/,-0.003697098128438496,0.13173344621698713,0.13543054434542562
"""",0,-0.13998018143675564,0.017107648937080097,0.15708783037383572
"""",1,-0.013181197452706177,0.10501647897231847,0.11819767642502466
"""",[,-0.0194273411142226,0.1015723210311514,0.120999662145374
"""",""",",0.2054816916710551,0.6575060977016782,0.4520244060306231
"""",""":",0.04183265662760731,0.6966031128668035,0.6547704562391963
"""",in,-0.10575040079551114,0.03668819460384839,0.14243859539935952
"""",to,-0.103626458420764,0.056487767347428705,0.1601142257681927
"""",of,0.21111788289701708,0.2924589814283722,0.0813410985313551
"""",for,-0.2502355589073217,-0.14873098555204303,0.10150457335527865
"""",`,-0.03522710353971592,0.029045862711790472,0.06427296625150639
"""",_,0.03000519958637114,0.1561818002074525,0.12617660062108138
"""",X,-0.1300385324608327,-0.011712760953787501,0.1183257715070452
"""",self,-0.3072143921853357,-0.12637034141736708,0.1808440507679686
"""",a,-0.04509217794019223,0.12693149709399976,0.17202367503419197
"""",from,-0.0031240968921195135,0.0838448247840562,0.0869689216761757
"""",is,0.07714217420856813,0.245984950026606,0.16884277581803786
"""",2,0.0076942057891334036,0.15127277514789544,0.14357856935876204
"""",def,0.11158099036507843,0.22801922029435298,0.11643822992927455
"""",],0.005089061178245299,0.09010181238053507,0.08501275120228977
"""",,-0.16005585088688573,-0.10921886607738734,0.05083698480949839
"""",and,0.05329265299360753,0.2031811097140767,0.1498884567204692
"""",):,0.0008129130049095549,0.07658100318610397,0.07576809018119442
"""",',0.18560001758571668,0.2531054151015309,0.06750539751581422
"""",s,-0.21409649971653155,-0.074367080681379,0.13972941903515257
"""",np,0.021214881578898746,0.13462828755301853,0.11341340597411978
"""",if,0.05089615511343266,0.20617126134984767,0.15527510623641502
"""",@,-0.1674009875595958,0.005542511019604617,0.1729434985792004
"""",assert,0.043050085859979666,0.25025524218626943,0.20720515632628977
"""",import,-0.004060082624905747,0.13027115903483655,0.1343312416597423
"""",*,-0.03444549663160606,0.05181355408343044,0.0862590507150365
"""",{,0.05020986540079308,0.5746460815550501,0.5244362161542571
"""",pytest,-0.07563154922594546,0.11348121921646129,0.18911276844240676
"""","""""""",0.05225733551076786,0.14513596703349071,0.09287863152272285
"""",==,-0.10841746305447363,0.1817592688138365,0.2901767318683101
"""",y,-0.06915044207071952,0.044904607566868864,0.11405504963758839
"""",3,-0.02386492017788686,0.14816753739324867,0.17203245757113553
"""",(#,-0.034631502688388154,0.12280884989426677,0.15744035258265493
"""",with,0.11262851032626851,0.2436392342880181,0.13101072396174956
"""",(),-0.019726913702844812,0.10446248319390353,0.12418939689674834
:,the,0.10068637524462622,0.19259001534522166,0.09190364010059544
:,#,-0.037360845513988473,0.10359002887860404,0.14095087439259252
:,/,-0.028099716029582264,0.022662349519753905,0.05076206554933617
:,0,-0.1268826142686529,0.008273895668900381,0.1351565099375533
:,1,-0.08166124472162622,0.011849853623539786,0.09351109834516601
:,[,0.02327706855227072,0.16134218166558784,0.13806511311331712
:,""",",-0.07717615087269225,0.007522196097698237,0.08469834697039048
:,""":",-0.02468259317150521,0.00987473639005011,0.03455732956155532
:,in,-0.11655951223314245,0.03710980649250417,0.15366931872564663
:,to,-0.030099190891575287,0.11955095884672388,0.14965014973829918
:,of,0.04319392868333128,0.27142642283480184,0.22823249415147057
:,for,0.07234741436740133,0.17154202094099286,0.09919460657359153
:,`,-0.06335123150119175,0.036036907998433426,0.09938813949962517
:,_,-0.2498740548012097,-0.06752888928388388,0.18234516551732582
:,X,-0.06352420264876836,-0.0032278624820769753,0.06029634016669139
:,self,-0.05148468983702545,0.11119303377283743,0.16267772360986288
:,a,-0.15746297221142938,0.02995703736043848,0.18742000957186786
:,from,0.1527420896188555,0.17319135508511924,0.020449265466263744
:,is,-0.015253923416156565,0.13940582204222915,0.1546597454583857
:,2,0.07435028590892596,0.1298221872157919,0.055471901306865926
:,def,-0.09633450118630493,0.08596755937835535,0.18230206056466028
:,],-0.007706517239900834,0.12271150330197761,0.13041802054187845
:,,0.09793571982961254,0.10908045291606988,0.011144733086457345
:,and,-0.07313163387480322,0.07099514246744827,0.1441267763422515
:,):,0.07545038998032139,0.1734229366359745,0.09797254665565311
:,',-0.06879321340858043,0.047555922431296915,0.11634913583987734
:,s,-0.10048130577748565,0.035744271613587925,0.13622557739107358
:,np,0.06296045902380427,0.14223165973759153,0.07927120071378725
:,if,0.06312488385150498,0.23414420818531975,0.17101932433381478
:,@,-0.031093548158641394,0.19381900453500656,0.22491255269364796
:,assert,0.04448428432901624,0.1389130907321182,0.09442880640310194
:,import,-0.014552489953139913,0.12252484678563351,0.13707733673877343
:,*,0.11458732376820768,0.15582240097839284,0.041235077210185156
:,{,0.05561360482590943,0.12136759688537516,0.06575399205946572
:,pytest,-0.028820333120543173,0.1182132266244771,0.14703355974502028
:,"""""""",-0.06207619039226515,0.10539535088243407,0.1674715412746992
:,==,0.08003900498985306,0.17781453565376693,0.09777553066391387
:,y,0.035892823884103114,0.08243014358926787,0.046537319705164754
